RepRapFirmware height map file v2 generated at 2019-11-17 16:02, min error -0.552, max error 0.689, mean 0.038, deviation 0.368
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
50.00,210.00,80.00,280.00,-1.00,40.00,40.00,5,6
  0.689,  0.654,  0.526,  0.462,  0.473
  0.463,  0.305,  0.296,  0.269,  0.189
  0.206,  0.598,  0.007,  0.018,  0.321
 -0.151, -0.196, -0.552,  0.007, -0.333
 -0.269, -0.356, -0.283, -0.202, -0.248
 -0.307, -0.369, -0.442, -0.331, -0.306
